cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
31,0,v6_64670_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[300,500)","[4.0,4.25)",15484,1,1,0.1046244493094408,1,excluded,MC_prefit_selector,,,
32,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.25,4.5)",12379,1,0,0.08364415254466337,1,excluded,MC_prefit_selector,,,
33,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.5,4.75)",10557,1,0,0.07133300900024325,1,excluded,MC_prefit_selector,,,
34,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[4.75,5.0)",8906,1,0,0.060177302089245654,1,excluded,MC_prefit_selector,,,
35,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[5,6)",30841,1,0,0.20839076731803563,1,excluded,MC_prefit_selector,,,
36,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)",>=6,192,0,0,0.0012973323603340632,1,excluded,MC_prefit_selector,,,
37,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[2,2.5)",0,0,0,0.0,1,excluded,MC_prefit_selector,,,
38,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[500,800)","[2.5,3)",1188,0,0,0.01517881099313887,1,excluded,MC_prefit_selector,,,
39,0,v6_64670_drop4_psfborrow,central99 MC-occupancy-ridge prefit cell; excluded for v4 cell-selection-bias drop4 control,"[500,800)","[3,3.25)",21957,1,1,0.28053969105753385,1,drop4_control_excluded,v4_drop4_bias_control,,,
40,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[500,800)","[3.25,3.5)",76528,1,1,0.9777811849182925,1,drop4_fit,,,,
