cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
1,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[125,200)","[2,2.5)",186591,1,1,0.4463536458756943,1,baseline26_fit,,,,
2,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[125,200)","[2.5,3)",418034,1,1,1.0,1,baseline26_fit,,,,
3,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[125,200)","[3,3.25)",88759,1,1,0.21232483482204798,1,baseline26_fit,,,,
4,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[3.25,3.5)",42094,1,1,0.10069515876699024,1,excluded,v5_cellsel_baseline26,,,
5,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[3.5,3.75)",23611,1,0,0.05648105178047719,1,excluded,v5_cellsel_baseline26,,,
6,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[3.75,4.0)",16474,1,0,0.039408277795586005,1,excluded,v5_cellsel_baseline26,,,
7,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[4.0,4.25)",11008,1,0,0.02633278632838477,1,excluded,v5_cellsel_baseline26,,,
8,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[4.25,4.5)",7175,1,0,0.017163675681882335,1,excluded,v5_cellsel_baseline26,,,
9,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[4.5,4.75)",5325,1,0,0.012738198328365636,1,excluded,v5_cellsel_baseline26,,,
10,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[4.75,5.0)",4880,1,0,0.011673691613600807,1,excluded,v5_cellsel_baseline26,,,
11,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)","[5,6)",19089,1,0,0.04566374983852988,1,excluded,v5_cellsel_baseline26,,,
12,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[125,200)",>=6,157,0,0,0.0003755675375687145,0,excluded,v5_cellsel_baseline26,,,
13,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[2,2.5)",17965,1,0,0.07025097174319389,1,excluded,v5_cellsel_baseline26,,,
14,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[200,300)","[2.5,3)",255726,1,1,1.0,1,baseline26_fit,,,,
15,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[200,300)","[3,3.25)",122642,1,1,0.479583616839899,1,baseline26_fit,,,,
16,1,v5_cellsel_baseline26,v5 cell-selection baseline26 nominal reference matching current v4 baseline,"[200,300)","[3.25,3.5)",55093,1,1,0.21543761682425722,1,baseline26_fit,,,,
17,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[3.5,3.75)",26172,1,1,0.10234391497149292,1,excluded,v5_cellsel_baseline26,,,
18,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[3.75,4.0)",16631,1,0,0.0650344509357672,1,excluded,v5_cellsel_baseline26,,,
19,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[4.0,4.25)",13247,1,0,0.051801537583194515,1,excluded,v5_cellsel_baseline26,,,
20,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[4.25,4.5)",10121,1,0,0.039577516560693866,1,excluded,v5_cellsel_baseline26,,,
21,0,v5_cellsel_baseline26,excluded from v5 cell-selection baseline26 frozen selector,"[200,300)","[4.5,4.75)",7811,1,0,0.030544410814700107,1,excluded,v5_cellsel_baseline26,,,
