nhit_bin,n_cells,n_used_cells,used_cell_ids,excluded_cell_ids,effective_events,one_r_sigma_deg,one_r_kl,one_r_max_cdf_difference,two_r_conditional_core_fraction,two_r_sigma_core_deg,two_r_sigma_tail_deg,two_r_sigma_ratio,two_r_kl,two_r_max_cdf_difference,kl_improvement_factor,kl_reduction_fraction,delta_aic_2r_minus_1r,delta_bic_2r_minus_1r,two_r_optimizer_success,two_r_boundary_flags
"[100,200)",13,12,"1,2,3,4,5,6,7,8,9,10,11,12",13,214154.0991602765,0.6853641611548502,0.45384218757794603,0.2771369787336587,0.8789058598415885,0.41700555030779113,1.6587029000214988,3.9776518533079783,0.015941790358113706,0.031823298792949706,28.46870880766283,0.9648737142679673,-187552.33017708088,-187531.7812748321,True,
"[200,300)",13,11,"14,15,16,17,18,19,20,21,22,23,24","25,26",48126.01158264813,0.5645657630924669,0.6711520039417558,0.3427884608951346,0.9104711468319966,0.3166619840068673,1.6291030913589601,5.144612153139389,0.02021027371504229,0.03136139870030952,33.20845691675242,0.9698871886005779,-62650.45849703965,-62632.89534085712,True,
"[300,500)",13,11,"28,29,30,31,32,33,34,35,36,37,38","27,39",17007.63472487769,0.45660904762511995,0.7764754016125278,0.3695471424767671,0.9263138736673425,0.249408409399697,1.4415402523087997,5.779838201039227,0.024939897316788594,0.02623219589860981,31.13386521803496,0.9678806343832719,-25559.682679677364,-25544.199844429993,True,
"[500,800)",13,10,"42,43,44,45,46,47,48,49,50,51","40,41,52",5666.882145698503,0.31901901972247715,0.6328539227890735,0.31026359331266323,0.9434140761561031,0.19490760059000903,1.0795159295195278,5.538603554975289,0.008586865055702787,0.009626878551896478,73.7002292086536,0.986431521167066,-7071.29568723395,-7058.010898515233,True,
"[800,1100)",13,9,"56,57,58,59,60,61,62,63,64","53,54,55,65",2974.25718922182,0.24648766832369484,0.5855920396166339,0.2783032116135832,0.9678406961324874,0.1639153223528061,1.039384250335563,6.3409828649113456,0.007292035609412137,0.013667377837226269,80.3057021362849,0.9875475841266798,-3436.025888890973,-3424.0303896859564,True,
"[1100,2000)",13,5,"70,71,72,73,74","66,67,68,69,75,76,77,78",3428.6937732389774,0.15581265798846905,0.22066137766363242,0.0998001211212376,0.9961302498246744,0.1368390869012066,1.2037137151794304,8.796563485171987,0.0032944313149713203,0.007857185406347833,66.98011176036717,0.9850701951113836,-1486.5693909072504,-1474.2895216202514,True,
"[2000,3000)",13,4,"86,87,88,89","79,80,81,82,83,84,85,90,91",2535.637264111033,0.1384730427728608,0.14320084950749265,0.09368888338292214,0.9838899536363996,0.12359499104602369,0.506641696219985,4.0992089722416365,0.013575642244406523,0.021876201875028256,10.548366473526857,0.9051985914113155,-653.3650118087946,-641.6886112674543,True,
